item_no,name,category,subcategory,chassis,compatibility,motor_type,beginner_level,upgrade_stage,purpose_tags,bmax_approved,catalog_tier,recommended,description,source_url,image_url,image_status,price_dkk,original_price_dkk,stock_qty,unbuilt_stock,built_stock,status,published,available,is_collectors_vault,catalog_order,id,shipping_class,part_group,is_complete_car_kit,is_club_asset,pricing_source,approved_regular_price_dkk,has_unresolved_duplicate,has_uncertain_edition,is_internal_test_record,is_archived_by_admin,is_preorder_enabled,force_coming_soon
18099,Ray Spear,cars,Mini 4WD Kit,VZ,VZ,Single-shaft,Beginner,Box Stock,First Car|Box Stock|B-MAX Base,true,core,true,"Lightweight VZ car that is easy to build, easy to tune and a strong first choice for Box Stock or a future B-MAX build.",https://www.tamiya.com/english/products/18099/index.html,,needs approved upload,319,0,0,0,0,coming soon,false,false,false,1,tamiya-18099-ray-spear,complete_car_kit,,true,false,board_approved_fixed_price,319,false,false,false,false,false,false
18094,Neo-VQS,cars,Mini 4WD Kit,VZ,VZ,Single-shaft,Beginner,Box Stock,First Car|Box Stock|B-MAX Base,true,core,true,Popular VZ platform with a low body and wide parts compatibility. A practical beginner car with a clear upgrade path.,https://www.tamiya.com/english/products/18094/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,2,tamiya-18094-neo-vqs,complete_car_kit,,true,false,unverified,,false,false,false,false,false,false
18103,Cross Spear 01,cars,Mini 4WD Kit,VZ,VZ,Single-shaft,Intermediate,Box Stock,First Car|Box Stock|B-MAX Base,true,expansion,false,Modern VZ kit for racers who want a newer body while keeping the same beginner-friendly upgrade ecosystem.,https://www.tamiya.com/english/products/18103/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,3,tamiya-18103-cross-spear-01,complete_car_kit,,true,false,unverified,,false,false,false,false,false,false
18714,Mach Frame,cars,Mini 4WD Kit,FM-A,FM-A,Single-shaft,Beginner,Box Stock,First Car|Box Stock|B-MAX Base,true,core,true,Front-motor FM-A car with predictable braking and strong stability. One of the easiest chassis to explain to new racers.,https://www.tamiya.com/english/products/18714/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,4,tamiya-18714-mach-frame,complete_car_kit,,true,false,unverified,,false,false,false,false,false,false
18718,K4 Gambol,cars,Mini 4WD Kit,FM-A,FM-A,Single-shaft,Intermediate,Box Stock,First Car|Box Stock|B-MAX Base,true,expansion,false,Fun FM-A kit with a distinctive body. Suitable for beginners who prefer style without losing B-MAX upgrade compatibility.,https://www.tamiya.com/english/products/18718/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,5,tamiya-18718-k4-gambol,complete_car_kit,,true,false,unverified,,false,false,false,false,false,false
19451,Gun Bluster XTO Premium,cars,Mini 4WD Kit,FM-A,FM-A,Single-shaft,Intermediate,Box Stock,First Car|Box Stock|B-MAX Base,true,special_order,false,Premium front-motor kit for fans of classic Fully Cowled designs. Keep as preorder or limited stock.,https://www.tamiya.com/english/products/19451/index.html,,needs approved upload,359,0,0,0,0,coming soon,false,false,true,6,tamiya-19451-gun-bluster-xto-premium,complete_car_kit,,true,false,board_approved_fixed_price,359,false,false,false,false,false,false
18701,Aero Avante,cars,Mini 4WD Kit,AR,AR,Single-shaft,Beginner,Box Stock,First Car|Box Stock|B-MAX Base,true,core,true,Reliable AR chassis with wide parts compatibility and simple maintenance. A strong shop demonstration and workshop car.,https://www.tamiya.com/english/products/18701/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,7,tamiya-18701-aero-avante,complete_car_kit,,true,false,unverified,,false,false,false,false,false,false
18705,Flame Astute,cars,Mini 4WD Kit,AR,AR,Single-shaft,Beginner,Box Stock,First Car|Box Stock|B-MAX Base,true,core,true,"AR chassis car with a low racing body. Good for Box Stock and an easy platform for learning brakes, rollers and dampers.",https://www.tamiya.com/english/products/18705/index.html,,needs approved upload,299,0,0,0,0,coming soon,false,false,false,8,tamiya-18705-flame-astute,complete_car_kit,,true,false,board_approved_fixed_price,299,false,false,false,false,false,false
18704,Shadow Shark,cars,Mini 4WD Kit,AR,AR,Single-shaft,Intermediate,Box Stock,First Car|Box Stock|B-MAX Base,true,expansion,false,Stable AR platform with a Formula-style body. Recommended for customers who want a classic racing appearance.,https://www.tamiya.com/english/products/18704/index.html,,needs approved upload,299,0,0,0,0,coming soon,false,false,false,9,tamiya-18704-shadow-shark,complete_car_kit,,true,false,board_approved_fixed_price,299,false,false,false,false,false,false
19447,Beak Stinger G,cars,Mini 4WD Kit,AR,AR,Single-shaft,Intermediate,Box Stock,First Car|Box Stock|B-MAX Base,true,expansion,false,Fully Cowled AR kit with broad upgrade compatibility. Good for customers who prefer anime-era body designs.,https://www.tamiya.com/english/products/19447/index.html,,needs approved upload,359,0,0,0,0,coming soon,false,false,true,10,tamiya-19447-beak-stinger-g,complete_car_kit,,true,false,board_approved_fixed_price,359,false,false,false,false,false,false
